id_drink;name_drink;calories;fat;protein;carbs
1;кава натуральна без цукру;2;0.12;0.12;0
2;Чай чорний без цукру;1;0.1;0.1;0
3;кава з молоком без цукру;12;0.7;0.5;1
4;Зелений чай без цукру;0.8;0.2;0.15;0.1
5;Яблучний сік;46;0.1;1.1;10
6;Нектар яблуко-виноград ;48;0;0.2;11
